FROM,n_articles,pct_articles,total_reach,mean_reach,actor_category
ids-ddi.com,1,0.01,0,0,""
infosistem.hr,1,0.01,0,0,""
ipc.com.hr,1,0.01,55,55,""
irmo.hr,1,0.01,2,2,""
istinomprotivlazi.info,1,0.01,8424,8424,""
izravno.com,1,0.01,0,0,""
jaskadanas.hr,1,0.01,54,54,""
javni-sektor.hr,1,0.01,0,0,""
kalkulator.com.hr,1,0.01,57,57,""
kaufland.hr,1,0.01,117,117,""
kazup.hr,1,0.01,18,18,""
kfbih.com,1,0.01,56,56,""
kladionica.biz,1,0.01,6,6,""
kopun.hr,1,0.01,1,1,""
krasic.hr,1,0.01,0,0,""
kucice.hr,1,0.01,0,0,""
lag-medjimurskidoliibregi.hr,1,0.01,0,0,""
ljubusaci.com,1,0.01,102,102,""
magicus.info,1,0.01,2,2,""
magiswall.hr,1,0.01,0,0,""
math.hr,1,0.01,699,699,""
matica.hr,1,0.01,13,13,""
mediadaily.biz,1,0.01,50,50,""
mediaservis.hr,1,0.01,1,1,""
menshealth.hr,1,0.01,1,1,""
mhdz.hr,1,0.01,0,0,""
mirisicvijeca.info,1,0.01,300,300,""
miroras.hr,1,0.01,0,0,""
mjenjacnica-meri.hr,1,0.01,0,0,""
modnialmanah.com,1,0.01,6,6,""
moje-djakovo.com,1,0.01,54,54,""
monetalis.hr,1,0.01,0,0,""
motovun.hr,1,0.01,1,1,""
mreza-mira.net,1,0.01,75,75,""
nasiljudi-gentenostra.hr,1,0.01,1,1,""
naturala.hr,1,0.01,139,139,""
nautica-portal.com,1,0.01,1,1,""
netkolumne.com,1,0.01,9266,9266,""
newsbar.hr,1,0.01,74891,74891,""
nhs.hr,1,0.01,0,0,""
normabel.com,1,0.01,16170,16170,""
novahrvatskabanka.hr,1,0.01,2160,2160,""
oazaznanja.com,1,0.01,1245,1245,""
obican.info,1,0.01,12,12,""
obloga.org,1,0.01,0,0,""
obracun-placa.com,1,0.01,839,839,""
oie.hr,1,0.01,1,1,""
oip.hr,1,0.01,300,300,""
onlinekrediti.com,1,0.01,0,0,""
opatija.hr,1,0.01,0,0,""
otoci.net,1,0.01,882,882,""
p-portal.net,1,0.01,1635,1635,""
pbz.hr,1,0.01,333,333,""
pero mandic,1,0.01,1,1,""
pick.jobs,1,0.01,795,795,""
place2go.hr,1,0.01,2,2,""
plaviured.hr,1,0.01,255,255,""
ploce.com.hr,1,0.01,489,489,""
poslovne.com,1,0.01,6,6,""
postpress.com.hr,1,0.01,0,0,""
pozega.hr,1,0.01,1,1,""
pregrada.hr,1,0.01,3,3,""
press032.com,1,0.01,189,189,""
prglas.com,1,0.01,2,2,""
proteka.hr,1,0.01,1,1,""
provjeri.hr,1,0.01,4593,4593,""
radioimotski.hr,1,0.01,1101,1101,""
radiomegaton.hr,1,0.01,0,0,""
radiovrbovec.hr,1,0.01,351,351,""
radnickaprava.org,1,0.01,298,298,""
redea.hr,1,0.01,0,0,""
regea.org,1,0.01,0,0,""
rekreativno.info,1,0.01,703,703,""
relaxino.com,1,0.01,0,0,""
ris.hr,1,0.01,1162,1162,""
risnjak.hr,1,0.01,0,0,""
rssing.com,1,0.01,3510,3510,""
rtv-hb.com,1,0.01,1304,1304,""
ru24.net,1,0.01,28,28,""
scena.hr,1,0.01,370,370,""
sdlsn.hr,1,0.01,225,225,""
sesvete-danas.hr,1,0.01,272,272,""
sisak.info,1,0.01,4490,4490,""
smn.hr,1,0.01,1387,1387,""
soundsetragusa.hr,1,0.01,0,0,""
sportnedjeljom.hr,1,0.01,0,0,""
srce.hr,1,0.01,1086,1086,""
stampar.hr,1,0.01,12,12,""
stedopis.hr,1,0.01,45,45,""
stipo benić,1,0.01,10,10,""
streaming.hr,1,0.01,1,1,""
studiom.hr,1,0.01,0,0,""
tehnicki-muzej.hr,1,0.01,2,2,""
tomislavnews.com,1,0.01,663,663,""
translate.goog,1,0.01,9,9,""
trebinjedanas.com,1,0.01,47,47,""
tunera.info,1,0.01,54,54,""
tzdubrovnik.hr,1,0.01,1,1,""
ubik.hr,1,0.01,1665,1665,""
unipu.hr,1,0.01,23,23,""
universitas-portal.hr,1,0.01,541,541,""
unizg.hr,1,0.01,510,510,""
usred.hr,1,0.01,1089,1089,""
vern.hr,1,0.01,6,6,""
vidi.hr,1,0.01,3,3,""
visitjelsa.hr,1,0.01,0,0,""
visitsplit.com,1,0.01,10,10,""
vtv.hr,1,0.01,54,54,""
wbb.media,1,0.01,45,45,""
zadarskiportal.com,1,0.01,300,300,""
zagrebancija.com,1,0.01,6,6,""
zona-znanja.hr,1,0.01,1,1,""
zupcica.hr,1,0.01,45,45,""
Čarobna Vatra 🔥,1,0.01,0,,""
Žana Vlainić,1,0.01,10,10,""
мaтко,1,0.01,14,14,""
ೄྀ࿐,1,0.01,0,,""
💯%potrebitNo🇭🇷🇺🇦,1,0.01,1,1,""
